PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
56,2024-09-13,2,1,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
57,2024-09-13,2,2,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
58,2024-09-13,2,3,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
59,2024-09-13,2,4,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
60,2024-09-13,2,5,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
61,2024-09-13,2,6,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
62,2024-09-13,2,7,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
63,2024-09-13,2,8,,,UCO_AVP,"Groen, Carter",Right ,UCO_HUS,2,Bottom,0,3,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,90.6,,,
64,2024-09-13,3,1,,,UCO_AVP,"Daniels, Ryan",Left,UCO_HUS,2,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
65,2024-09-13,3,2,,,UCO_AVP,"Daniels, Ryan",Left,UCO_HUS,2,Bottom,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
66,2024-09-13,3,3,,,UCO_AVP,"Daniels, Ryan",Left,UCO_HUS,2,Bottom,1,2,0,Fastball,InPlay,Undefined,LineDrive,Double,0,1,106.2,,,
67,2024-09-13,4,1,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,2,Bottom,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
68,2024-09-13,4,2,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,2,Bottom,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
