PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
53,2024-11-05,4,4,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left ,UCO_HUS,1,Bottom,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
54,2024-11-06,4,5,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left ,UCO_HUS,1,Bottom,0,2,2,Fastball,InPlay,Undefined,FlyBall,Sacrifice,1,1,90.1,,,,,,,
55,2024-11-07,5,1,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,1,Bottom,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
56,2024-11-08,5,2,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,1,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
57,2024-11-09,5,3,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,1,Bottom,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
58,2024-11-10,5,4,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,1,Bottom,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
59,2024-11-11,5,5,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,1,Bottom,0,2,2,Changeup,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
60,2024-11-12,1,1,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
61,2024-11-13,1,2,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,0,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
62,2024-11-14,1,3,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
63,2024-11-15,1,4,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,1,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
64,2024-11-16,1,5,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
65,2024-11-17,1,6,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,2,2,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
66,2024-11-18,1,7,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,2,Top,0,2,2,Fastball,InPlay,Undefined,FlyBall,HomeRun,0,1,,,,,,,,
67,2024-11-19,2,1,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
68,2024-11-20,2,2,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
69,2024-11-21,2,3,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,1,1,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
70,2024-11-22,2,4,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
71,2024-11-23,2,5,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,2,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,86.8,,,,,,,
72,2024-11-24,2,6,"Meyers, Paxton",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Top,0,2,2,Slider,StrikeCalled,Strikeout,Undefined,Out,1,0,,,,,,,,
73,2024-11-25,3,1,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
74,2024-11-26,3,2,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
75,2024-11-27,3,3,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
76,2024-11-28,3,4,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,0,2,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
77,2024-11-29,3,5,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,0,3,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
78,2024-11-30,3,6,"Meyers, Paxton",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,2,Top,0,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
79,2024-12-01,4,1,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
80,2024-12-02,4,2,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
81,2024-12-03,4,3,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
82,2024-12-04,4,4,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
83,2024-12-05,4,5,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
84,2024-12-06,4,6,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
85,2024-12-07,4,7,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,3,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
86,2024-12-08,4,8,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,3,3,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
87,2024-12-09,4,9,"Meyers, Paxton",Right,UCO_HUS,"Biller, Sam",Left ,UCO_HUS,2,Top,0,3,2,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,
88,2024-12-10,5,1,"Meyers, Paxton",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,2,Top,2,0,0,Cutter ,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
89,2024-12-11,5,2,"Meyers, Paxton",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,2,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
90,2024-12-12,5,3,"Meyers, Paxton",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,2,Top,0,0,2,Curveball,InPlay,Undefined,LineDrive,Double,0,1,103.9,,,,,,,
91,2024-12-13,6,1,"Meyers, Paxton",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
92,2024-12-14,6,2,"Meyers, Paxton",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
93,2024-12-15,6,3,"Meyers, Paxton",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
94,2024-12-16,6,4,"Meyers, Paxton",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
95,2024-12-17,6,5,"Meyers, Paxton",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,0,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
96,2024-12-18,1,1,"Alejandro, Hector",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
97,2024-12-19,1,2,"Alejandro, Hector",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Bottom,0,1,0,Slider,InPlay,Undefined,FlyBall,Out,1,0,100.8,,,,,,,
98,2024-12-20,2,1,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
