PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
65,9/10/24,4,2,"Carrea, Joe",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,2,Bottom,0,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,53.9
66,9/10/24,5,1,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,Undefined,2,Bottom,1,0,0,Fastball,CalledStrike,Undefined,Undefined,Undefined,0,0,
67,9/10/24,5,2,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,Undefined,2,Bottom,1,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
68,9/10/24,5,3,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,Undefined,2,Bottom,1,1,1,Slider,InPlay,Undefined,GroundBall,FieldersChoice,0,1,59.8
69,9/10/24,6,1,"Carrea, Joe",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,2,Bottom,2,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,71.8
70,9/10/24,7,1,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,2,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
71,9/10/24,7,2,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,2,Bottom,2,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
72,9/10/24,7,3,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,2,Bottom,2,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
73,9/10/24,7,4,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,2,Bottom,2,1,2,Fastball,InPlay,Undefined,FlyBall,Double,0,1,84.6
74,9/10/24,8,1,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,2,Bottom,2,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
75,9/10/24,8,2,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,2,Bottom,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
76,9/10/24,8,3,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,2,Bottom,2,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
77,9/10/24,8,4,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,2,Bottom,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
78,9/10/24,8,5,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,2,Bottom,2,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,
79,9/10/24,1,1,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,3,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
80,9/10/24,1,2,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,3,Top,0,0,1,Fastball,InPlay,Undefined,FlyBall,Single,0,0,95.5
81,9/10/24,2,1,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,3,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
82,9/10/24,2,2,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,3,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
83,9/10/24,2,3,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,3,Top,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
84,9/10/24,2,4,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,3,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,
85,9/10/24,3,1,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,3,Top,1,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
86,9/10/24,3,2,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,3,Top,1,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
87,9/10/24,3,3,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,3,Top,1,1,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,
88,9/10/24,3,4,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,3,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
89,9/10/24,3,5,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,3,Top,1,2,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,29.9
90,9/10/24,4,1,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,3,Top,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
91,9/10/24,4,2,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,3,Top,2,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
92,9/10/24,4,3,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,3,Top,2,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
93,9/10/24,4,4,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,3,Top,2,1,2,Fastball,InPlay,Undefined,GroundBall,Single,0,1,89.4
94,9/10/24,5,1,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,3,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
95,9/10/24,5,2,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,3,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
96,9/10/24,5,3,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,3,Top,2,2,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
97,9/10/24,5,4,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,3,Top,2,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
98,9/10/24,5,5,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,3,Top,2,3,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
99,9/10/24,6,1,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Right,UCO_HUS,Undefined,3,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Out,1,0,
100,9/10/24,1,1,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
101,9/10/24,1,2,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
102,9/10/24,1,3,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
103,9/10/24,1,4,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
104,9/10/24,1,5,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
105,9/10/24,1,6,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,3,Bottom,0,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,
106,9/10/24,2,1,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,3,Bottom,0,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
107,9/10/24,2,2,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,3,Bottom,0,0,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,87.3
108,9/10/24,3,1,"Mach, Alex",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,3,Bottom,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
109,9/10/24,3,2,"Mach, Alex",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,3,Bottom,1,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
