PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
55,9/12/24,1,3,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,1,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,
56,9/12/24,1,4,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
57,9/12/24,1,5,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
58,9/12/24,1,6,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
59,9/12/24,1,7,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Cutter,StrikeSwinging,Strikeout,Undefined,Out,1,0,
60,9/12/24,2,1,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,3,Top,1,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,74.1
61,9/12/24,3,1,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
62,9/12/24,3,2,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,
63,9/12/24,3,3,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,2,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,93.9
64,9/12/24,1,1,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
65,9/12/24,1,2,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,0,0,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,92
66,9/12/24,2,1,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
67,9/12/24,2,2,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
68,9/12/24,2,3,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
69,9/12/24,2,4,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,2,1,Fastball,BallCalled,Undefined,Undefined,PassedBall,0,0,
70,9/12/24,2,5,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
71,9/12/24,2,6,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,58.9
72,9/12/24,2,6,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,2,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,
73,9/12/24,3,1,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,WildPitch,0,0,
74,9/12/24,3,2,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
75,9/12/24,3,3,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
76,9/12/24,3,4,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,2,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
77,9/12/24,3,5,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
78,9/12/24,3,6,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,
79,9/12/24,4,1,"West, Charlie",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
80,9/12/24,4,2,"West, Charlie",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
81,9/12/24,4,3,"West, Charlie",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
82,9/12/24,4,4,"West, Charlie",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,1,2,Curveball,BallCalled,HitbyPitch,Undefined,Undefined,0,1,
83,9/12/24,5,1,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
84,9/12/24,5,2,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,1,0,Curveball,BallCalled,Undefined,Undefined,WildPitch,0,1,
85,9/12/24,5,3,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
86,9/12/24,5,4,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
87,9/12/24,5,5,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,3,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
88,9/12/24,5,6,"West, Charlie",Left,UCO_HUS,"MacArthur, Grant",RIght,UCO_HUS,3,Bottom,0,3,2,Fastball,InPlay,Undefined,FlyBall,HomeRun,0,3,92.5
89,9/12/24,1,1,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,4,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
90,9/12/24,1,2,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,4,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
91,9/12/24,1,3,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,4,Top,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
92,9/12/24,1,4,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,4,Top,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
93,9/12/24,1,5,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,4,Top,0,3,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,91.8
94,9/12/24,2,1,"Norrell, Owen",Left,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,4,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
95,9/12/24,2,2,"Norrell, Owen",Left,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,4,Top,1,0,1,Changeup,InPlay,Undefined,FlyBall,Out,1,0,89.9
96,9/12/24,3,1,"Norrell, Owen",Left,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,4,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
97,9/12/24,3,2,"Norrell, Owen",Left,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,4,Top,2,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
